162 ms ; init
10636845 ms ; Button pressed (no action triggered)
10637477 ms ; Button pressed (no action triggered)
10638062 ms ; Button pressed (no action triggered)
10641183 ms ; Button pressed (no action triggered)
10643330 ms ; Button pressed (no action triggered)
10643917 ms ; Button pressed (no action triggered)
10644952 ms ; Button pressed (no action triggered)
10645662 ms ; Button pressed (no action triggered)
10646376 ms ; Button pressed (no action triggered)
10647771 ms ; Button pressed - Motor activated
10649482 ms ; Button pressed (while motor running)
10650014 ms ; Button pressed (while motor running)
10650519 ms ; Button pressed (while motor running)
10651872 ms ; Motor stopped - Micro switch triggered
10653746 ms ; Button pressed (no action triggered)
10654912 ms ; Button pressed (no action triggered)
10656139 ms ; Button pressed (no action triggered)
10657492 ms ; Button pressed (no action triggered)
10658671 ms ; Button pressed (no action triggered)
10659981 ms ; Button pressed (no action triggered)
10661093 ms ; Button pressed (no action triggered)
10662146 ms ; Button pressed (no action triggered)
10663581 ms ; Button pressed (no action triggered)
10664682 ms ; Button pressed (no action triggered)
10665899 ms ; Button pressed (no action triggered)
10667027 ms ; Button pressed (no action triggered)
10668089 ms ; Button pressed (no action triggered)
10686841 ms ; Button pressed - Motor activated
10688802 ms ; Button pressed (while motor running)
10690236 ms ; Button pressed (while motor running)
10690907 ms ; Motor stopped - Micro switch triggered
10691436 ms ; Button pressed (no action triggered)
10693389 ms ; Button pressed (no action triggered)
10695126 ms ; Button pressed (no action triggered)
10696164 ms ; Button pressed (no action triggered)
10724206 ms ; Button pressed - Motor activated
10728248 ms ; Motor stopped - Micro switch triggered
10738560 ms ; Button pressed (no action triggered)
10740307 ms ; Button pressed (no action triggered)
10755629 ms ; Button pressed (no action triggered)
10981733 ms ; Button pressed - Motor activated
10983001 ms ; Button pressed (while motor running)
10983242 ms ; Button pressed (while motor running)
10983452 ms ; Button pressed (while motor running)
10983727 ms ; Button pressed (while motor running)
10984491 ms ; Button pressed (while motor running)
10984699 ms ; Button pressed (while motor running)
10984912 ms ; Button pressed (while motor running)
10985093 ms ; Button pressed (while motor running)
10985308 ms ; Button pressed (while motor running)
10985550 ms ; Button pressed (while motor running)
10985774 ms ; Motor stopped - Micro switch triggered
10985792 ms ; Button pressed (no action triggered)
10986033 ms ; Button pressed (no action triggered)
10986266 ms ; Button pressed (no action triggered)
