258 ms ; Init
3840794 ms ; Button pressed (no action triggered)
3841000 ms ; Button pressed (no action triggered)
3841191 ms ; Button pressed (no action triggered)
3841400 ms ; Button pressed (no action triggered)
3841616 ms ; Button pressed (no action triggered)
3841811 ms ; Button pressed (no action triggered)
3842003 ms ; Button pressed (no action triggered)
3842238 ms ; Button pressed (no action triggered)
3843605 ms ; Button pressed (no action triggered)
3843812 ms ; Button pressed (no action triggered)
3844212 ms ; Button pressed (no action triggered)
3844410 ms ; Button pressed (no action triggered)
3844609 ms ; Button pressed (no action triggered)
3844790 ms ; Button pressed (no action triggered)
3845018 ms ; Button pressed (no action triggered)
3845219 ms ; Button pressed (no action triggered)
3845407 ms ; Button pressed (no action triggered)
3845610 ms ; Button pressed (no action triggered)
3845888 ms ; Button pressed (no action triggered)
3846222 ms ; Button pressed (no action triggered)
3846808 ms ; Button pressed (no action triggered)
3847037 ms ; Button pressed (no action triggered)
3847264 ms ; Button pressed (no action triggered)
3847502 ms ; Button pressed (no action triggered)
3847711 ms ; Button pressed (no action triggered)
3847953 ms ; Button pressed (no action triggered)
3848189 ms ; Button pressed (no action triggered)
3848415 ms ; Button pressed (no action triggered)
3849122 ms ; Button pressed (no action triggered)
3849467 ms ; Button pressed (no action triggered)
3849688 ms ; Button pressed (no action triggered)
3849911 ms ; Button pressed (no action triggered)
3850121 ms ; Button pressed (no action triggered)
3850228 ms ; Button pressed (no action triggered)
3850521 ms ; Button pressed (no action triggered)
3850750 ms ; Button pressed (no action triggered)
3850958 ms ; Button pressed (no action triggered)
3851162 ms ; Button pressed (no action triggered)
3851353 ms ; Button pressed (no action triggered)
3905773 ms ; Button pressed - Motor activated
3908429 ms ; Button pressed (while motor running)
3909781 ms ; Motor stopped - Micro switch triggered
3910750 ms ; Button pressed (no action triggered)
3914072 ms ; Button pressed (no action triggered)
3915839 ms ; Button pressed (no action triggered)
3917940 ms ; Button pressed (no action triggered)
3920219 ms ; Button pressed (no action triggered)
3979537 ms ; Button pressed - Motor activated
3983622 ms ; Motor stopped - Micro switch triggered
3987995 ms ; Button pressed (no action triggered)
3989263 ms ; Button pressed (no action triggered)
3991245 ms ; Button pressed (no action triggered)
3991471 ms ; Button pressed (no action triggered)
3992927 ms ; Button pressed (no action triggered)
3993553 ms ; Button pressed (no action triggered)
3993823 ms ; Button pressed (no action triggered)
