417 ms ; init
398 ms ; init
7868995 ms ; SW2 ;has been pressed
7869650 ms ; SW2 ;has been pressed
7869769 ms ; SW2 ;has been pressed
7870859 ms ; SW2 ;has been pressed
7871314 ms ; SW2 ;has been pressed
7872643 ms ; SW2 ;has been pressed
7873294 ms ; SW2 ;has been pressed
7873425 ms ; SW2 ;has been pressed
7873997 ms ; SW2 ;has been pressed
8045986 ms ; SW4 ;has been pressed
8046105 ms ; SW4 ;has been pressed
8046124 ms ; SW2 ;has been pressed
8046438 ms ; SW2 ;has been pressed
8046456 ms ; SW4 ;has been pressed
8046575 ms ; SW2 ;has been pressed
8046783 ms ; SW4 ;has been pressed
8047002 ms ; SW2 ;has been pressed
8047183 ms ; SW2 ;has been pressed
8047203 ms ; SW4 ;has been pressed
8047322 ms ; SW4 ;has been pressed
8047602 ms ; SW2 ;has been pressed
8047621 ms ; SW4 ;has been pressed
8047872 ms ; SW4 ;has been pressed
8048039 ms ; SW2 ;has been pressed
8048160 ms ; SW2 ;has been pressed
8050067 ms ; SW3 ;has been pressed and the led UV has activate
8050660 ms ; SW3 ;has been pressed
8051135 ms ; SW1 ;has been pressed
8051158 ms ; SW3 ;has been pressed
8051604 ms ; SW1 ;has been pressed
8051665 ms ; SW3 ;has been pressed
8052104 ms ; SW3 ;has been pressed
8052123 ms ; SW1 ;has been pressed
8052406 ms ; SW2 ;has been pressed
8052525 ms ; SW2 ;has been pressed
8052654 ms ; SW2 ;has been pressed
8187090 ms ; SW1 ;has been pressed
8187405 ms ; SW2 ;has been pressed
8187597 ms ; SW2 ;has been pressed
8188547 ms ; SW3 ;has been pressed
8188972 ms ; SW3 ;has been pressed
8190310 ms ; SW2 ;has been pressed
8190428 ms ; SW3 ;has been pressed
8190447 ms ; SW4 ;has been pressed and the led UV has activate
8190566 ms ; SW1 ;has been pressed
8190785 ms ; SW4 ;has been pressed
8190909 ms ; SW1 ;has been pressed
8191028 ms ; SW3 ;has been pressed
8191046 ms ; SW4 ;has been pressed
8191751 ms ; SW3 ;has been pressed
8191773 ms ; SW2 ;has been pressed
8191794 ms ; SW4 ;has been pressed
8191913 ms ; SW4 ;has been pressed
8191932 ms ; SW1 ;has been pressed
8192174 ms ; SW2 ;has been pressed
8192454 ms ; SW2 ;has been pressed
8192577 ms ; SW2 ;has been pressed
8192596 ms ; SW3 ;has been pressed
8193354 ms ; SW4 ;has been pressed
8193509 ms ; SW4 ;has been pressed
8193838 ms ; SW4 ;has been pressed
8193957 ms ; SW4 ;has been pressed
8193976 ms ; SW3 ;has been pressed
8194268 ms ; SW4 ;has been pressed
8194610 ms ; SW3 ;has been pressed
8194629 ms ; SW4 ;has been pressed
8194748 ms ; SW4 ;has been pressed
8195135 ms ; SW2 ;has been pressed
