415 ms ; init
17042065 ms ; SW2 ;has been pressed
17042770 ms ; SW3 ;has been pressed
17042891 ms ; SW3 ;has been pressed
17043860 ms ; SW4 ;has been pressed
17043981 ms ; SW4 ;has been pressed
17065989 ms ; SW1 ;has been pressed
17066857 ms ; SW1 ;has been pressed
17067141 ms ; SW1 ;has been pressed
17067409 ms ; SW2 ;has been pressed
17067665 ms ; SW1 ;has been pressed
17067686 ms ; SW4 ;has been pressed
17067831 ms ; SW1 ;has been pressed
17068041 ms ; SW1 ;has been pressed
17068239 ms ; SW1 ;has been pressed
17068461 ms ; SW1 ;has been pressed
17068612 ms ; SW1 ;has been pressed
17068634 ms ; SW3 ;has been pressed
17080870 ms ; SW1 ;has been pressed
17081174 ms ; SW1 ;has been pressed
17081470 ms ; SW1 ;has been pressed
17081992 ms ; SW2 ;has been pressed
17119387 ms ; SW4 ;has been pressed
17119745 ms ; SW3 ;has been pressed
17119888 ms ; SW2 ;has been pressed
17120018 ms ; SW3 ;has been pressed
17120169 ms ; SW2 ;has been pressed
17120343 ms ; SW3 ;has been pressed
17120480 ms ; SW2 ;has been pressed
17120602 ms ; SW3 ;has been pressed
17120771 ms ; SW2 ;has been pressed
17120912 ms ; SW3 ;has been pressed
17128351 ms ; SW2 ;has been pressed and the led UV has activate
17137977 ms ; SW2 ;has been pressed
17138105 ms ; SW2 ;has been pressed
17160429 ms ; SW3 ;has been pressed
17160454 ms ; SW4 ;has been pressed
17163300 ms ; SW2 ;has been pressed
17166239 ms ; SW2 ;has been pressed
17166261 ms ; SW3 ;has been pressed
17166282 ms ; SW1 ;has been pressed
17167025 ms ; SW3 ;has been pressed
17167046 ms ; SW4 ;has been pressed
17167067 ms ; SW1 ;has been pressed
17167460 ms ; SW4 ;has been pressed
17167481 ms ; SW3 ;has been pressed
17167602 ms ; SW2 ;has been pressed
17167723 ms ; SW3 ;has been pressed
17167845 ms ; SW4 ;has been pressed
17167865 ms ; SW1 ;has been pressed
17167990 ms ; SW3 ;has been pressed
17168232 ms ; SW4 ;has been pressed
17168253 ms ; SW3 ;has been pressed
17213949 ms ; SW4 ;has been pressed
17214236 ms ; SW3 ;has been pressed
17214357 ms ; SW3 ;has been pressed
17216728 ms ; SW2 ;has been pressed
17216848 ms ; SW3 ;has been pressed
17217167 ms ; SW4 ;has been pressed
17217188 ms ; SW1 ;has been pressed
17217447 ms ; SW3 ;has been pressed
17218573 ms ; SW1 ;has been pressed
17218861 ms ; SW2 ;has been pressed
17219075 ms ; SW4 ;has been pressed
17219438 ms ; SW3 ;has been pressed and the led UV has activate
17219661 ms ; SW2 ;has been pressed
17219823 ms ; SW3 ;has been pressed
17220025 ms ; SW1 ;has been pressed
17220202 ms ; SW3 ;has been pressed
17222027 ms ; SW3 ;has been pressed
17222148 ms ; SW3 ;has been pressed
17222359 ms ; SW2 ;has been pressed
17222585 ms ; SW2 ;has been pressed
17222606 ms ; SW3 ;has been pressed
17222753 ms ; SW2 ;has been pressed
17222994 ms ; SW2 ;has been pressed
17223015 ms ; SW3 ;has been pressed
17223140 ms ; SW3 ;has been pressed
17223308 ms ; SW3 ;has been pressed
17223504 ms ; SW3 ;has been pressed
17223654 ms ; SW2 ;has been pressed
17223782 ms ; SW3 ;has been pressed
17224302 ms ; SW3 ;has been pressed
17240390 ms ; SW2 ;has been pressed
17240458 ms ; SW3 ;has been pressed
17241149 ms ; SW4 ;has been pressed
17241589 ms ; SW3 ;has been pressed
17242128 ms ; SW2 ;has been pressed
17242648 ms ; SW1 ;has been pressed
17243025 ms ; SW2 ;has been pressed
17243312 ms ; SW2 ;has been pressed
17248885 ms ; SW3 ;has been pressed
17250459 ms ; SW3 ;has been pressed
17251190 ms ; SW3 ;has been pressed
17294416 ms ; SW3 ;has been pressed
17294878 ms ; SW4 ;has been pressed
17336240 ms ; SW4 ;has been pressed and the led UV has activate
17345253 ms ; SW3 ;has been pressed
17392667 ms ; SW3 ;has been pressed
17392788 ms ; SW3 ;has been pressed
17393081 ms ; SW2 ;has been pressed
17396904 ms ; SW1 ;has been pressed
17397349 ms ; SW2 ;has been pressed
17397805 ms ; SW2 ;has been pressed
17398208 ms ; SW2 ;has been pressed
17398461 ms ; SW2 ;has been pressed
17399162 ms ; SW2 ;has been pressed
17405431 ms ; SW3 ;has been pressed
17405552 ms ; SW3 ;has been pressed
17407342 ms ; SW4 ;has been pressed
17407628 ms ; SW4 ;has been pressed
17407846 ms ; SW4 ;has been pressed
17408372 ms ; SW4 ;has been pressed
17451002 ms ; SW3 ;has been pressed
17452873 ms ; SW4 ;has been pressed
17454572 ms ; SW1 ;has been pressed and the led UV has activate
17461933 ms ; SW3 ;has been pressed
17461957 ms ; SW4 ;has been pressed
17463334 ms ; SW2 ;has been pressed
17463366 ms ; SW1 ;has been pressed
17479639 ms ; SW2 ;has been pressed
17481153 ms ; SW2 ;has been pressed
17481351 ms ; SW1 ;has been pressed
17481412 ms ; SW3 ;has been pressed
17484745 ms ; SW1 ;has been pressed
17485306 ms ; SW2 ;has been pressed
17486090 ms ; SW3 ;has been pressed
17486988 ms ; SW3 ;has been pressed
17487489 ms ; SW2 ;has been pressed
17487610 ms ; SW2 ;has been pressed
17487866 ms ; SW1 ;has been pressed
17488240 ms ; SW3 ;has been pressed
17488362 ms ; SW3 ;has been pressed
17488382 ms ; SW4 ;has been pressed
17497987 ms ; SW1 ;has been pressed
17504046 ms ; SW1 ;has been pressed
17534854 ms ; SW4 ;has been pressed
17535688 ms ; SW3 ;has been pressed
17535810 ms ; SW3 ;has been pressed
17535986 ms ; SW2 ;has been pressed
17536159 ms ; SW3 ;has been pressed
17536353 ms ; SW2 ;has been pressed
17536474 ms ; SW2 ;has been pressed
17536745 ms ; SW3 ;has been pressed
17538432 ms ; SW1 ;has been pressed
17545946 ms ; SW2 ;has been pressed and the led UV has activate
17550464 ms ; SW3 ;has been pressed
17568882 ms ; SW2 ;has been pressed
17570972 ms ; SW2 ;has been pressed
17571094 ms ; SW2 ;has been pressed
17571215 ms ; SW2 ;has been pressed
17571570 ms ; SW2 ;has been pressed
17571859 ms ; SW2 ;has been pressed
17572007 ms ; SW2 ;has been pressed
17572376 ms ; SW2 ;has been pressed
17572620 ms ; SW2 ;has been pressed
17573432 ms ; SW2 ;has been pressed
17573554 ms ; SW2 ;has been pressed
17577674 ms ; SW2 ;has been pressed
17577970 ms ; SW2 ;has been pressed
17579128 ms ; SW2 ;has been pressed
17579720 ms ; SW2 ;has been pressed
17579841 ms ; SW2 ;has been pressed
17582307 ms ; SW2 ;has been pressed
17583583 ms ; SW2 ;has been pressed
17584109 ms ; SW2 ;has been pressed
17585038 ms ; SW2 ;has been pressed
17585522 ms ; SW2 ;has been pressed
17586074 ms ; SW2 ;has been pressed
17586453 ms ; SW2 ;has been pressed
17586575 ms ; SW2 ;has been pressed
17586900 ms ; SW2 ;has been pressed
17587241 ms ; SW2 ;has been pressed
17587438 ms ; SW2 ;has been pressed
17587997 ms ; SW2 ;has been pressed
17588372 ms ; SW2 ;has been pressed
17588627 ms ; SW2 ;has been pressed
17590870 ms ; SW2 ;has been pressed
17591061 ms ; SW2 ;has been pressed
17591275 ms ; SW2 ;has been pressed
17591427 ms ; SW2 ;has been pressed
17591857 ms ; SW2 ;has been pressed
17592295 ms ; SW2 ;has been pressed
17592505 ms ; SW2 ;has been pressed
17594861 ms ; SW2 ;has been pressed
17594986 ms ; SW2 ;has been pressed
17622448 ms ; SW2 ;has been pressed
17622574 ms ; SW2 ;has been pressed
17623164 ms ; SW2 ;has been pressed
17623286 ms ; SW2 ;has been pressed
17623860 ms ; SW1 ;has been pressed
17624436 ms ; SW3 ;has been pressed
17624786 ms ; SW3 ;has been pressed
17640808 ms ; SW1 ;has been pressed
17641830 ms ; SW1 ;has been pressed
17642852 ms ; SW1 ;has been pressed
17643180 ms ; SW2 ;has been pressed
17643304 ms ; SW1 ;has been pressed
17643784 ms ; SW1 ;has been pressed
17643813 ms ; SW2 ;has been pressed
17644366 ms ; SW1 ;has been pressed
17645048 ms ; SW1 ;has been pressed
17645069 ms ; SW2 ;has been pressed
17645191 ms ; SW2 ;has been pressed
17652950 ms ; SW3 ;has been pressed and the led UV has activate
17654744 ms ; SW3 ;has been pressed
17655886 ms ; SW4 ;has been pressed
17659876 ms ; SW4 ;has been pressed
17661910 ms ; SW2 ;has been pressed
17662039 ms ; SW2 ;has been pressed
17662159 ms ; SW2 ;has been pressed
17662789 ms ; SW2 ;has been pressed
17662962 ms ; SW2 ;has been pressed
17663093 ms ; SW2 ;has been pressed
17663131 ms ; SW3 ;has been pressed
17663266 ms ; SW1 ;has been pressed
18000429 ms ; 5 hours have passed
18458305 ms ; SW2 ;has been pressed
18458441 ms ; SW2 ;has been pressed
18458584 ms ; SW2 ;has been pressed
18458605 ms ; SW1 ;has been pressed
18459345 ms ; SW4 ;has been pressed and the led UV has activate
18459568 ms ; SW4 ;has been pressed
18459588 ms ; SW3 ;has been pressed
18459749 ms ; SW3 ;has been pressed
18460037 ms ; SW4 ;has been pressed
18460061 ms ; SW3 ;has been pressed
19600500 ms ; SW1 ;has been pressed and the led UV has activate
19603659 ms ; SW1 ;has been pressed
19603942 ms ; SW1 ;has been pressed
19604457 ms ; SW2 ;has been pressed
19604771 ms ; SW2 ;has been pressed
19605120 ms ; SW2 ;has been pressed
19605708 ms ; SW2 ;has been pressed
19605911 ms ; SW2 ;has been pressed
19606260 ms ; SW2 ;has been pressed
19638599 ms ; SW4 ;has been pressed
19638620 ms ; SW1 ;has been pressed
19638903 ms ; SW3 ;has been pressed
19958206 ms ; SW2 ;has been pressed and the led UV has activate
19962090 ms ; SW2 ;has been pressed
19962443 ms ; SW2 ;has been pressed
19965596 ms ; SW2 ;has been pressed
19965723 ms ; SW2 ;has been pressed
19966526 ms ; SW2 ;has been pressed
19966848 ms ; SW2 ;has been pressed
19970081 ms ; SW1 ;has been pressed
19971460 ms ; SW3 ;has been pressed
19972544 ms ; SW2 ;has been pressed
19972678 ms ; SW2 ;has been pressed
19973394 ms ; SW2 ;has been pressed
19976604 ms ; SW2 ;has been pressed
19976729 ms ; SW2 ;has been pressed
19979830 ms ; SW4 ;has been pressed
19983222 ms ; SW1 ;has been pressed
20001484 ms ; SW1 ;has been pressed
20086756 ms ; SW4 ;has been pressed
20087420 ms ; SW3 ;has been pressed and the led UV has activate
20087731 ms ; SW3 ;has been pressed
20088321 ms ; SW3 ;has been pressed
20089014 ms ; SW2 ;has been pressed
20089929 ms ; SW1 ;has been pressed
20090500 ms ; SW2 ;has been pressed
20090620 ms ; SW1 ;has been pressed
20090868 ms ; SW1 ;has been pressed
20091331 ms ; SW3 ;has been pressed
20107960 ms ; SW3 ;has been pressed
20108256 ms ; SW3 ;has been pressed
20108734 ms ; SW4 ;has been pressed
20108977 ms ; SW4 ;has been pressed
20109619 ms ; SW2 ;has been pressed
20109894 ms ; SW2 ;has been pressed
20110646 ms ; SW1 ;has been pressed
20111035 ms ; SW1 ;has been pressed
20111889 ms ; SW1 ;has been pressed
20113052 ms ; SW4 ;has been pressed
20113074 ms ; SW3 ;has been pressed
20114265 ms ; SW3 ;has been pressed
20114285 ms ; SW4 ;has been pressed
20114310 ms ; SW1 ;has been pressed
20114700 ms ; SW2 ;has been pressed
20115053 ms ; SW3 ;has been pressed
20115075 ms ; SW4 ;has been pressed
20115173 ms ; SW1 ;has been pressed
20115296 ms ; SW2 ;has been pressed
20115417 ms ; SW3 ;has been pressed
20115539 ms ; SW2 ;has been pressed
20115740 ms ; SW4 ;has been pressed
20116159 ms ; SW3 ;has been pressed
20116320 ms ; SW2 ;has been pressed
20116957 ms ; SW4 ;has been pressed
20117106 ms ; SW2 ;has been pressed
20117420 ms ; SW1 ;has been pressed
20118158 ms ; SW1 ;has been pressed
20118313 ms ; SW3 ;has been pressed
20118663 ms ; SW4 ;has been pressed
20118853 ms ; SW1 ;has been pressed
20119213 ms ; SW2 ;has been pressed
20119379 ms ; SW2 ;has been pressed
20120095 ms ; SW4 ;has been pressed
20124946 ms ; SW2 ;has been pressed
20125175 ms ; SW3 ;has been pressed
20125300 ms ; SW1 ;has been pressed
20125512 ms ; SW1 ;has been pressed
20125848 ms ; SW4 ;has been pressed
20126286 ms ; SW3 ;has been pressed
20126411 ms ; SW1 ;has been pressed
20126780 ms ; SW2 ;has been pressed
20126997 ms ; SW4 ;has been pressed
20127118 ms ; SW1 ;has been pressed
20127478 ms ; SW2 ;has been pressed
20127660 ms ; SW2 ;has been pressed
20127851 ms ; SW4 ;has been pressed
20127972 ms ; SW1 ;has been pressed
20128238 ms ; SW3 ;has been pressed
20128512 ms ; SW2 ;has been pressed
20128669 ms ; SW4 ;has been pressed
20128813 ms ; SW1 ;has been pressed
20129338 ms ; SW2 ;has been pressed
20129657 ms ; SW1 ;has been pressed
20130241 ms ; SW3 ;has been pressed
20130623 ms ; SW1 ;has been pressed
20130957 ms ; SW2 ;has been pressed
20131164 ms ; SW3 ;has been pressed
20131672 ms ; SW2 ;has been pressed
20131830 ms ; SW2 ;has been pressed
20131960 ms ; SW3 ;has been pressed
20132105 ms ; SW1 ;has been pressed
20132597 ms ; SW4 ;has been pressed
20132720 ms ; SW1 ;has been pressed
20132856 ms ; SW3 ;has been pressed
20133074 ms ; SW2 ;has been pressed
20194970 ms ; SW1 ;has been pressed
20195766 ms ; SW4 ;has been pressed and the led UV has activate
20196703 ms ; SW2 ;has been pressed
20197285 ms ; SW3 ;has been pressed
20197904 ms ; SW4 ;has been pressed
20228527 ms ; SW2 ;has been pressed
20231736 ms ; SW4 ;has been pressed
20233365 ms ; SW3 ;has been pressed
20233910 ms ; SW2 ;has been pressed
20234209 ms ; SW1 ;has been pressed
20234364 ms ; SW2 ;has been pressed
20234485 ms ; SW1 ;has been pressed
20234732 ms ; SW1 ;has been pressed
20235058 ms ; SW2 ;has been pressed
20235249 ms ; SW2 ;has been pressed
20235384 ms ; SW2 ;has been pressed
20235438 ms ; SW1 ;has been pressed
20237031 ms ; SW4 ;has been pressed
20316756 ms ; SW1 ;has been pressed and the led UV has activate
20317190 ms ; SW4 ;has been pressed
20318125 ms ; SW2 ;has been pressed
20318146 ms ; SW4 ;has been pressed
20318571 ms ; SW4 ;has been pressed
20318592 ms ; SW1 ;has been pressed
20318857 ms ; SW2 ;has been pressed
20318926 ms ; SW4 ;has been pressed
20321036 ms ; SW4 ;has been pressed
20321173 ms ; SW2 ;has been pressed
20321352 ms ; SW3 ;has been pressed
20321559 ms ; SW1 ;has been pressed
20321757 ms ; SW4 ;has been pressed
20321880 ms ; SW1 ;has been pressed
20329988 ms ; SW2 ;has been pressed
20330365 ms ; SW3 ;has been pressed
20330454 ms ; SW1 ;has been pressed
20330771 ms ; SW4 ;has been pressed
20333608 ms ; SW3 ;has been pressed
20335162 ms ; SW3 ;has been pressed
20345465 ms ; SW1 ;has been pressed
20345695 ms ; SW1 ;has been pressed
20345850 ms ; SW1 ;has been pressed
20346002 ms ; SW1 ;has been pressed
20346181 ms ; SW1 ;has been pressed
20346335 ms ; SW1 ;has been pressed
20347003 ms ; SW1 ;has been pressed
20347422 ms ; SW2 ;has been pressed
20347559 ms ; SW1 ;has been pressed
20347838 ms ; SW1 ;has been pressed
20348221 ms ; SW4 ;has been pressed
20348342 ms ; SW1 ;has been pressed
20348464 ms ; SW4 ;has been pressed
20348584 ms ; SW1 ;has been pressed
20348605 ms ; SW3 ;has been pressed
20348822 ms ; SW4 ;has been pressed
20349069 ms ; SW2 ;has been pressed
20349369 ms ; SW2 ;has been pressed
20349719 ms ; SW3 ;has been pressed
20350254 ms ; SW4 ;has been pressed
20350966 ms ; SW4 ;has been pressed
20358052 ms ; SW2 ;has been pressed
20358474 ms ; SW3 ;has been pressed
20358525 ms ; SW2 ;has been pressed
20358799 ms ; SW3 ;has been pressed
20358819 ms ; SW2 ;has been pressed
20359041 ms ; SW3 ;has been pressed
20359062 ms ; SW2 ;has been pressed
20359544 ms ; SW1 ;has been pressed
20359873 ms ; SW1 ;has been pressed
20360053 ms ; SW4 ;has been pressed
20360253 ms ; SW1 ;has been pressed
20360645 ms ; SW1 ;has been pressed
20360852 ms ; SW3 ;has been pressed
20360973 ms ; SW3 ;has been pressed
20361281 ms ; SW3 ;has been pressed
20361542 ms ; SW1 ;has been pressed
20361667 ms ; SW3 ;has been pressed
20361927 ms ; SW1 ;has been pressed
20362168 ms ; SW3 ;has been pressed
20362443 ms ; SW1 ;has been pressed
20363392 ms ; SW3 ;has been pressed
20364354 ms ; SW1 ;has been pressed
20412497 ms ; SW2 ;has been pressed and the led UV has activate
20412808 ms ; SW2 ;has been pressed
20413082 ms ; SW2 ;has been pressed
20413647 ms ; SW3 ;has been pressed
20414219 ms ; SW2 ;has been pressed
20414341 ms ; SW2 ;has been pressed
20414665 ms ; SW4 ;has been pressed
20415236 ms ; SW1 ;has been pressed
20415356 ms ; SW4 ;has been pressed
20415482 ms ; SW1 ;has been pressed
20416208 ms ; SW2 ;has been pressed
20416382 ms ; SW2 ;has been pressed
20416660 ms ; SW2 ;has been pressed
20417874 ms ; SW1 ;has been pressed
20418621 ms ; SW2 ;has been pressed
20420240 ms ; SW3 ;has been pressed
20420733 ms ; SW4 ;has been pressed
20421889 ms ; SW4 ;has been pressed
20422200 ms ; SW4 ;has been pressed
20422470 ms ; SW4 ;has been pressed
20422723 ms ; SW4 ;has been pressed
20423184 ms ; SW4 ;has been pressed
20423542 ms ; SW3 ;has been pressed
20423751 ms ; SW3 ;has been pressed
20423973 ms ; SW3 ;has been pressed
20424117 ms ; SW2 ;has been pressed
20424138 ms ; SW1 ;has been pressed
20424760 ms ; SW2 ;has been pressed
20424780 ms ; SW1 ;has been pressed
20425047 ms ; SW2 ;has been pressed
20425068 ms ; SW1 ;has been pressed
20425378 ms ; SW2 ;has been pressed
20425400 ms ; SW3 ;has been pressed
20425702 ms ; SW2 ;has been pressed
20425723 ms ; SW3 ;has been pressed
20425745 ms ; SW1 ;has been pressed
20426038 ms ; SW2 ;has been pressed
20426058 ms ; SW1 ;has been pressed
20426231 ms ; SW1 ;has been pressed
20426353 ms ; SW2 ;has been pressed
20426474 ms ; SW3 ;has been pressed
20426595 ms ; SW1 ;has been pressed
20426816 ms ; SW1 ;has been pressed
20426842 ms ; SW4 ;has been pressed
20427142 ms ; SW1 ;has been pressed
20427162 ms ; SW3 ;has been pressed
20427407 ms ; SW4 ;has been pressed
20427427 ms ; SW3 ;has been pressed
20427749 ms ; SW2 ;has been pressed
20427770 ms ; SW1 ;has been pressed
20427807 ms ; SW4 ;has been pressed
20428332 ms ; SW2 ;has been pressed
20428352 ms ; SW3 ;has been pressed
20428374 ms ; SW4 ;has been pressed
20428394 ms ; SW1 ;has been pressed
20428516 ms ; SW1 ;has been pressed
20428793 ms ; SW2 ;has been pressed
20429046 ms ; SW2 ;has been pressed
20429111 ms ; SW1 ;has been pressed
20433921 ms ; SW1 ;has been pressed
20434703 ms ; SW2 ;has been pressed
20434724 ms ; SW4 ;has been pressed
20434885 ms ; SW2 ;has been pressed
20435410 ms ; SW3 ;has been pressed
20438605 ms ; SW3 ;has been pressed
20439548 ms ; SW3 ;has been pressed
20442738 ms ; SW4 ;has been pressed
20442889 ms ; SW1 ;has been pressed
20445766 ms ; SW4 ;has been pressed
20446538 ms ; SW3 ;has been pressed
20448475 ms ; SW2 ;has been pressed
20449110 ms ; SW2 ;has been pressed
20449244 ms ; SW2 ;has been pressed
20449453 ms ; SW2 ;has been pressed
20449644 ms ; SW2 ;has been pressed
20449986 ms ; SW2 ;has been pressed
20450309 ms ; SW2 ;has been pressed
20503123 ms ; SW2 ;has been pressed
20503244 ms ; SW3 ;has been pressed and the led UV has activate
20503494 ms ; SW3 ;has been pressed
20503663 ms ; SW1 ;has been pressed
20503717 ms ; SW3 ;has been pressed
20503942 ms ; SW3 ;has been pressed
20505600 ms ; SW3 ;has been pressed
20519875 ms ; SW3 ;has been pressed
20520089 ms ; SW3 ;has been pressed
20520311 ms ; SW3 ;has been pressed
20520493 ms ; SW3 ;has been pressed
20520781 ms ; SW3 ;has been pressed
20521083 ms ; SW3 ;has been pressed
20521329 ms ; SW3 ;has been pressed
20521590 ms ; SW3 ;has been pressed
20522372 ms ; SW3 ;has been pressed
20522796 ms ; SW3 ;has been pressed
20523128 ms ; SW3 ;has been pressed
20523644 ms ; SW3 ;has been pressed
20524103 ms ; SW3 ;has been pressed
20524275 ms ; SW3 ;has been pressed
20524826 ms ; SW3 ;has been pressed
20525095 ms ; SW3 ;has been pressed
20525350 ms ; SW3 ;has been pressed
20525601 ms ; SW3 ;has been pressed
20525836 ms ; SW3 ;has been pressed
20526201 ms ; SW3 ;has been pressed
20526554 ms ; SW3 ;has been pressed
20526756 ms ; SW3 ;has been pressed
20527036 ms ; SW3 ;has been pressed
20527538 ms ; SW3 ;has been pressed
20529337 ms ; SW4 ;has been pressed
20529373 ms ; SW3 ;has been pressed
20529637 ms ; SW1 ;has been pressed
20529884 ms ; SW2 ;has been pressed
20530015 ms ; SW1 ;has been pressed
20530277 ms ; SW4 ;has been pressed
20530298 ms ; SW3 ;has been pressed
20530609 ms ; SW3 ;has been pressed
20530729 ms ; SW4 ;has been pressed
20530977 ms ; SW1 ;has been pressed
20531739 ms ; SW1 ;has been pressed
20537885 ms ; SW3 ;has been pressed
20538470 ms ; SW2 ;has been pressed
20538490 ms ; SW4 ;has been pressed
20538512 ms ; SW1 ;has been pressed
20538806 ms ; SW3 ;has been pressed
20539042 ms ; SW4 ;has been pressed
20539067 ms ; SW1 ;has been pressed
20539088 ms ; SW3 ;has been pressed
20539209 ms ; SW1 ;has been pressed
20540871 ms ; SW2 ;has been pressed
20541491 ms ; SW3 ;has been pressed
20541512 ms ; SW1 ;has been pressed
20541581 ms ; SW4 ;has been pressed
20546264 ms ; SW4 ;has been pressed
20546709 ms ; SW4 ;has been pressed
20547281 ms ; SW4 ;has been pressed
20548128 ms ; SW3 ;has been pressed
20548377 ms ; SW3 ;has been pressed
20548501 ms ; SW1 ;has been pressed
20548970 ms ; SW1 ;has been pressed
20549275 ms ; SW1 ;has been pressed
20549297 ms ; SW3 ;has been pressed
20550134 ms ; SW4 ;has been pressed
20550356 ms ; SW2 ;has been pressed
20550508 ms ; SW4 ;has been pressed
20551244 ms ; SW1 ;has been pressed
20551647 ms ; SW1 ;has been pressed
20551730 ms ; SW3 ;has been pressed
20552019 ms ; SW1 ;has been pressed
20552041 ms ; SW3 ;has been pressed
20552626 ms ; SW1 ;has been pressed
20552868 ms ; SW1 ;has been pressed
20555068 ms ; SW3 ;has been pressed
20561271 ms ; SW3 ;has been pressed
20561995 ms ; SW3 ;has been pressed
20562683 ms ; SW4 ;has been pressed
20563139 ms ; SW3 ;has been pressed
20564979 ms ; SW1 ;has been pressed
20569358 ms ; SW3 ;has been pressed
20570214 ms ; SW4 ;has been pressed
20570689 ms ; SW4 ;has been pressed
20570882 ms ; SW4 ;has been pressed
20571648 ms ; SW4 ;has been pressed
20571983 ms ; SW4 ;has been pressed
20572122 ms ; SW4 ;has been pressed
20573636 ms ; SW3 ;has been pressed
20574519 ms ; SW1 ;has been pressed
20575769 ms ; SW1 ;has been pressed
20576434 ms ; SW2 ;has been pressed
20576699 ms ; SW2 ;has been pressed
20578500 ms ; SW2 ;has been pressed
20586669 ms ; SW1 ;has been pressed
20589545 ms ; SW2 ;has been pressed
20592406 ms ; SW3 ;has been pressed
20592778 ms ; SW1 ;has been pressed
20593162 ms ; SW3 ;has been pressed
20594093 ms ; SW3 ;has been pressed
20594502 ms ; SW4 ;has been pressed and the led UV has activate
20598130 ms ; SW2 ;has been pressed
20600857 ms ; SW4 ;has been pressed
20601218 ms ; SW3 ;has been pressed
20601610 ms ; SW2 ;has been pressed
20602020 ms ; SW1 ;has been pressed
20602390 ms ; SW2 ;has been pressed
20603284 ms ; SW3 ;has been pressed
20608005 ms ; SW3 ;has been pressed
20608375 ms ; SW2 ;has been pressed
20608756 ms ; SW1 ;has been pressed
20608828 ms ; SW4 ;has been pressed
20609006 ms ; SW2 ;has been pressed
20609262 ms ; SW2 ;has been pressed
20609765 ms ; SW1 ;has been pressed
20613846 ms ; SW2 ;has been pressed
20614034 ms ; SW2 ;has been pressed
20614224 ms ; SW3 ;has been pressed
20614419 ms ; SW2 ;has been pressed
20615198 ms ; SW1 ;has been pressed
20615394 ms ; SW4 ;has been pressed
20617789 ms ; SW3 ;has been pressed
20617988 ms ; SW3 ;has been pressed
20619549 ms ; SW4 ;has been pressed
20625762 ms ; SW4 ;has been pressed
20625884 ms ; SW4 ;has been pressed
20632525 ms ; SW4 ;has been pressed
20632769 ms ; SW4 ;has been pressed
20632932 ms ; SW4 ;has been pressed
20633128 ms ; SW4 ;has been pressed
20633289 ms ; SW4 ;has been pressed
20633423 ms ; SW4 ;has been pressed
20643668 ms ; SW3 ;has been pressed
20644234 ms ; SW3 ;has been pressed
20644665 ms ; SW4 ;has been pressed
20644992 ms ; SW4 ;has been pressed
20645182 ms ; SW4 ;has been pressed
20645424 ms ; SW4 ;has been pressed
20646204 ms ; SW4 ;has been pressed
20646333 ms ; SW3 ;has been pressed
20646517 ms ; SW3 ;has been pressed
20646645 ms ; SW3 ;has been pressed
20646811 ms ; SW3 ;has been pressed
20647140 ms ; SW4 ;has been pressed
20647310 ms ; SW2 ;has been pressed
20647486 ms ; SW3 ;has been pressed
20647654 ms ; SW3 ;has been pressed
20647810 ms ; SW3 ;has been pressed
20647961 ms ; SW3 ;has been pressed
20648115 ms ; SW2 ;has been pressed
20648265 ms ; SW3 ;has been pressed
20648398 ms ; SW3 ;has been pressed
20648545 ms ; SW3 ;has been pressed
20648666 ms ; SW3 ;has been pressed
20648887 ms ; SW2 ;has been pressed
20648907 ms ; SW3 ;has been pressed
20649061 ms ; SW3 ;has been pressed
20649201 ms ; SW2 ;has been pressed
20649365 ms ; SW2 ;has been pressed
20649541 ms ; SW2 ;has been pressed
20649769 ms ; SW4 ;has been pressed
20650388 ms ; SW3 ;has been pressed
20650542 ms ; SW3 ;has been pressed
20650716 ms ; SW3 ;has been pressed
20651245 ms ; SW3 ;has been pressed
20651389 ms ; SW2 ;has been pressed
20651558 ms ; SW3 ;has been pressed
20651737 ms ; SW2 ;has been pressed
20652080 ms ; SW1 ;has been pressed
20652331 ms ; SW1 ;has been pressed
20652689 ms ; SW1 ;has been pressed
20652921 ms ; SW4 ;has been pressed
20653865 ms ; SW3 ;has been pressed
20656166 ms ; SW3 ;has been pressed
20671718 ms ; SW2 ;has been pressed
20672101 ms ; SW2 ;has been pressed
20672248 ms ; SW2 ;has been pressed
20672447 ms ; SW2 ;has been pressed
20672802 ms ; SW2 ;has been pressed
20673075 ms ; SW2 ;has been pressed
20673351 ms ; SW2 ;has been pressed
20674667 ms ; SW1 ;has been pressed
20674932 ms ; SW1 ;has been pressed
20675160 ms ; SW1 ;has been pressed
20675694 ms ; SW1 ;has been pressed
20675897 ms ; SW1 ;has been pressed
20683931 ms ; SW2 ;has been pressed
20685166 ms ; SW1 ;has been pressed and the led UV has activate
20685387 ms ; SW3 ;has been pressed
20685534 ms ; SW1 ;has been pressed
20685556 ms ; SW4 ;has been pressed
20686407 ms ; SW1 ;has been pressed
20686868 ms ; SW1 ;has been pressed
20687321 ms ; SW2 ;has been pressed
20687762 ms ; SW2 ;has been pressed
20688364 ms ; SW3 ;has been pressed
20688861 ms ; SW4 ;has been pressed
20698019 ms ; SW2 ;has been pressed
20698764 ms ; SW3 ;has been pressed
20699035 ms ; SW3 ;has been pressed
20699254 ms ; SW4 ;has been pressed
20701443 ms ; SW1 ;has been pressed
20728231 ms ; SW1 ;has been pressed
20728410 ms ; SW1 ;has been pressed
20728586 ms ; SW1 ;has been pressed
