415 ms ; init
8025655 ms ; SW2 ;has been pressed
8026044 ms ; SW1 ;has been pressed
8026357 ms ; SW2 ;has been pressed
8026525 ms ; SW2 ;has been pressed
8026664 ms ; SW2 ;has been pressed
8026839 ms ; SW2 ;has been pressed
8027066 ms ; SW2 ;has been pressed
8027286 ms ; SW2 ;has been pressed
8027870 ms ; SW2 ;has been pressed
8028230 ms ; SW2 ;has been pressed
8028844 ms ; SW2 ;has been pressed
8029550 ms ; SW3 ;has been pressed
8136805 ms ; SW4 ;has been pressed and the led UV has activate
8137187 ms ; SW2 ;has been pressed
8137405 ms ; SW2 ;has been pressed
8137435 ms ; SW4 ;has been pressed
8137458 ms ; SW1 ;has been pressed
8137477 ms ; SW3 ;has been pressed
8137696 ms ; SW2 ;has been pressed
8137914 ms ; SW1 ;has been pressed
8137933 ms ; SW2 ;has been pressed
8138052 ms ; SW4 ;has been pressed
8138285 ms ; SW4 ;has been pressed
8138303 ms ; SW3 ;has been pressed
8138570 ms ; SW4 ;has been pressed
8138589 ms ; SW3 ;has been pressed
8138688 ms ; SW1 ;has been pressed
8139753 ms ; SW1 ;has been pressed
8139976 ms ; SW1 ;has been pressed
8140164 ms ; SW1 ;has been pressed
8140360 ms ; SW1 ;has been pressed
8140537 ms ; SW1 ;has been pressed
8140715 ms ; SW1 ;has been pressed
8141024 ms ; SW3 ;has been pressed
8141248 ms ; SW2 ;has been pressed
8141434 ms ; SW3 ;has been pressed
8141600 ms ; SW3 ;has been pressed
8141760 ms ; SW3 ;has been pressed
8143790 ms ; SW2 ;has been pressed
8144065 ms ; SW2 ;has been pressed
8144518 ms ; SW1 ;has been pressed
8144636 ms ; SW1 ;has been pressed
8144775 ms ; SW3 ;has been pressed
8144893 ms ; SW1 ;has been pressed
8145012 ms ; SW3 ;has been pressed
8165714 ms ; SW4 ;has been pressed
8165834 ms ; SW1 ;has been pressed
8166087 ms ; SW3 ;has been pressed
8166430 ms ; SW3 ;has been pressed
8166605 ms ; SW2 ;has been pressed
8167387 ms ; SW3 ;has been pressed
8167659 ms ; SW3 ;has been pressed
8167977 ms ; SW3 ;has been pressed
8167996 ms ; SW4 ;has been pressed
8168134 ms ; SW4 ;has been pressed
8168253 ms ; SW3 ;has been pressed
8169825 ms ; SW1 ;has been pressed
8169990 ms ; SW1 ;has been pressed
8170196 ms ; SW1 ;has been pressed
8170403 ms ; SW1 ;has been pressed
8237309 ms ; SW3 ;has been pressed
