13 ms ; init
17380189 ms ; Motor stopped - Micro switch triggered
17384064 ms ; Button pressed (no action triggered)
17384350 ms ; Button pressed (no action triggered)
17384625 ms ; Button pressed (no action triggered)
17384875 ms ; Button pressed (no action triggered)
17385487 ms ; Button pressed (no action triggered)
17385730 ms ; Button pressed (no action triggered)
17385982 ms ; Button pressed (no action triggered)
17386222 ms ; Button pressed (no action triggered)
17386463 ms ; Button pressed (no action triggered)
17386686 ms ; Button pressed (no action triggered)
17386925 ms ; Button pressed (no action triggered)
17387167 ms ; Button pressed (no action triggered)
17387409 ms ; Button pressed (no action triggered)
17387654 ms ; Button pressed (no action triggered)
17387906 ms ; Button pressed (no action triggered)
17388140 ms ; Button pressed (no action triggered)
17388389 ms ; Button pressed (no action triggered)
17390257 ms ; Button pressed (no action triggered)
17390550 ms ; Button pressed (no action triggered)
17390772 ms ; Button pressed (no action triggered)
17391020 ms ; Button pressed (no action triggered)
18000140 ms ; 5 hours have passed
22870745 ms ; Button pressed - Motor activated
22874908 ms ; Motor stopped - Micro switch triggered
22935684 ms ; Button pressed - Motor activated
22937091 ms ; Button pressed (while motor running)
22938142 ms ; Button pressed (while motor running)
22938728 ms ; Button pressed (while motor running)
22939790 ms ; Motor stopped - Micro switch triggered
22944559 ms ; Button pressed (no action triggered)
22945435 ms ; Button pressed (no action triggered)
22945820 ms ; Button pressed (no action triggered)
22946176 ms ; Button pressed (no action triggered)
22946677 ms ; Button pressed (no action triggered)
22947126 ms ; Button pressed (no action triggered)
22947477 ms ; Button pressed (no action triggered)
22947757 ms ; Button pressed (no action triggered)
22948035 ms ; Button pressed (no action triggered)
22959753 ms ; Button pressed (no action triggered)
22961735 ms ; Button pressed (no action triggered)
23333908 ms ; Button pressed - Motor activated
23335963 ms ; Button pressed (while motor running)
23336356 ms ; Button pressed (while motor running)
23336698 ms ; Button pressed (while motor running)
23336972 ms ; Button pressed (while motor running)
23337455 ms ; Button pressed (while motor running)
23338066 ms ; Motor stopped - Micro switch triggered
23338190 ms ; Button pressed (no action triggered)
23340820 ms ; Button pressed (no action triggered)
23341159 ms ; Button pressed (no action triggered)
23342028 ms ; Button pressed (no action triggered)
23342405 ms ; Button pressed (no action triggered)
23345434 ms ; Button pressed (no action triggered)
23346703 ms ; Button pressed (no action triggered)
23395955 ms ; Button pressed - Motor activated
23397562 ms ; Button pressed (while motor running)
23400078 ms ; Motor stopped - Micro switch triggered
23405140 ms ; Button pressed (no action triggered)
23406878 ms ; Button pressed (no action triggered)
23407416 ms ; Button pressed (no action triggered)
23407955 ms ; Button pressed (no action triggered)
23410260 ms ; Button pressed (no action triggered)
23410783 ms ; Button pressed (no action triggered)
23422929 ms ; Button pressed (no action triggered)
23424956 ms ; Button pressed (no action triggered)
23427862 ms ; Button pressed (no action triggered)
23434415 ms ; Button pressed - Motor activated
23436302 ms ; Button pressed (while motor running)
23438564 ms ; Motor stopped - Micro switch triggered
23439297 ms ; Button pressed (no action triggered)
23443631 ms ; Button pressed (no action triggered)
23447470 ms ; Button pressed (no action triggered)
23447939 ms ; Button pressed (no action triggered)
23448351 ms ; Button pressed (no action triggered)
23448700 ms ; Button pressed (no action triggered)
23449066 ms ; Button pressed (no action triggered)
23449394 ms ; Button pressed (no action triggered)
23449748 ms ; Button pressed (no action triggered)
23450162 ms ; Button pressed (no action triggered)
23450525 ms ; Button pressed (no action triggered)
23450932 ms ; Button pressed (no action triggered)
23451351 ms ; Button pressed (no action triggered)
23451680 ms ; Button pressed (no action triggered)
23451996 ms ; Button pressed (no action triggered)
23452309 ms ; Button pressed (no action triggered)
23452692 ms ; Button pressed (no action triggered)
